FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z
43,2024-08-09T18:33:16.8113704+03:30,-57,-54,44,30,39,22,-20,88,-0.5591021,0.175193921,2.06104636,-0.04528631,-0.26989162,2.39575672,-0.554014146,0.102924764,2.250086,-0.0346238352,-0.0252310056,2.497054,-0.4006131,0.1718317,2.42360258,-0.101635315,0.156106949,2.50490141,0,0,0,0,0,0,0,0,0,0,0,0,170.31912231445312,347.45184326171875,254.130859375,338.1919860839844,1.5448,1.5024
44,2024-08-09T18:33:16.8429113+03:30,-57,-56,44,30,40,23,-20,88,-0.56023407,0.1712674,2.0615747,-0.0452798828,-0.269970477,2.395394,-0.5561461,0.0989703238,2.25054622,-0.0346499421,-0.0252663475,2.49626446,-0.4011858,0.171207353,2.42351484,-0.101541393,0.155974448,2.5041,0,0,0,0,0,0,0,0,0,0,0,0,170.3032989501953,347.5638427734375,254.1327209472656,338.1356811523437,1.5528,1.5024
45,2024-08-09T18:33:16.8760507+03:30,-58,-56,42,29,40,24,-20,87,-0.5621062,0.166715637,2.06186843,-0.0452988967,-0.271113217,2.39465427,-0.55813247,0.09516391,2.251002,-0.0345171057,-0.0263589658,2.495069,-0.4017509,0.170607254,2.42346072,-0.1013983,0.155897871,2.50340033,0,0,0,0,0,0,0,0,0,0,0,0,170.31585693359375,347.3614807128906,254.2128448486328,338.17681884765625,1.5528,1.5024
46,2024-08-09T18:33:16.9109620+03:30,-59,-56,42,29,40,25,-20,87,-0.5644524,0.161916837,2.06218338,-0.04533424,-0.2729314,2.39368272,-0.559912562,0.0914508,2.25157785,-0.0342824124,-0.0281226151,2.49363661,-0.402316421,0.170021042,2.42343688,-0.101219192,0.155868337,2.50279331,0,0,0,0,0,0,0,0,0,0,0,0,170.3179931640625,347.5391845703125,254.1641540527344,338.165283203125,1.5528,1.5024
47,2024-08-09T18:33:16.9425594+03:30,-59,-56,42,29,40,25,-20,87,-0.5670468,0.157044858,2.06254959,-0.045378875,-0.2751479,2.39257836,-0.5614806,0.0878460854,2.252256,-0.0339881927,-0.0302825887,2.49208355,-0.402874917,0.169447914,2.423436,-0.101138629,0.155834377,2.502102,0,0,0,0,0,0,0,0,0,0,0,0,170.16531372070312,347.551513671875,253.8394317626953,338.1859436035156,1.5528,1.5024
48,2024-08-09T18:33:16.9792066+03:30,-59,-56,42,29,40,26,-20,87,-0.569637954,0.152104124,2.063357,-0.04542805,-0.277570546,2.39141345,-0.562806249,0.0842900947,2.25341678,-0.03366273,-0.0326475576,2.4904902,-0.4034166,0.1688892,2.423455,-0.101132184,0.1558523,2.50139856,0,0,0,0,0,0,0,0,0,0,0,0,170.27464294433594,347.5644226074219,253.98794555664065,338.097900390625,1.5448,1.5024
49,2024-08-09T18:33:17.0112027+03:30,-61,-57,40,29,40,28,-20,86,-0.5720347,0.147164553,2.06474376,-0.04547768,-0.280068666,2.390236,-0.5639562,0.08069083,2.255172,-0.03332259,-0.03508829,2.4889102,-0.403936833,0.1683451,2.42349052,-0.101223893,0.155876637,2.5006268,0,0,0,0,0,0,0,0,0,0,0,0,170.24620056152344,347.60107421875,254.15701293945312,338.1643981933594,1.5528,1.5024
50,2024-08-09T18:33:17.0437532+03:30,-62,-57,41,28,40,29,-19,86,-0.574156642,0.142193735,2.06640053,-0.04552794,-0.282547921,2.389067,-0.5649403,0.07714474,2.25724578,-0.0329821035,-0.037514545,2.48737812,-0.404431671,0.167815655,2.42353821,-0.101321615,0.1559423,2.49990582,0,0,0,0,0,0,0,0,0,0,0,0,170.28829956054688,347.318603515625,253.6031494140625,338.12109375,1.5528,1.5024
51,2024-08-09T18:33:17.0790456+03:30,-63,-57,41,28,40,30,-19,86,-0.5759975,0.137244537,2.06840253,-0.04557676,-0.284951121,2.38793349,-0.565779,0.07354625,2.2596662,-0.0326486677,-0.039867796,2.48591661,-0.4048965,0.167307749,2.42359424,-0.101387069,0.15604949,2.49928117,0,0,0,0,0,0,0,0,0,0,0,0,170.17604064941406,347.52947998046875,253.97720336914065,338.0985717773437,1.5448,1.5024
52,2024-08-09T18:33:17.1113774+03:30,-63,-58,40,28,41,31,-19,86,-0.5776024,0.132282,2.0707,-0.0456226766,-0.287242144,2.3868506,-0.566320658,0.06995977,2.26238,-0.0323287,-0.0421122424,2.48453975,-0.405328661,0.1668254,2.42365527,-0.101412147,0.156188115,2.49875879,0,0,0,0,0,0,0,0,0,0,0,0,170.2015838623047,347.46856689453125,253.95065307617188,338.2263488769531,1.5528,1.5024
53,2024-08-09T18:33:17.1443193+03:30,-63,-58,40,28,41,32,-19,86,-0.5788036,0.127331063,2.07313561,-0.04566586,-0.289398849,2.38582778,-0.566657066,0.0664602146,2.26526618,-0.03202668,-0.04422549,2.48325443,-0.4057238,0.1663676,2.42371726,-0.101455428,0.156307012,2.498237,0,0,0,0,0,0,0,0,0,0,0,0,170.40887451171875,347.56561279296875,254.22561645507807,338.17047119140625,1.5528,1.5024
54,2024-08-09T18:33:17.1763738+03:30,-64,-58,40,28,41,33,-19,86,-0.5796828,0.122383587,2.075867,-0.045704484,-0.291405439,2.384869,-0.566760838,0.06339362,2.268526,-0.03174425,-0.0461933948,2.48206544,-0.406083733,0.165933326,2.42378616,-0.101498842,0.156411052,2.49774861,0,0,0,0,0,0,0,0,0,0,0,0,170.30288696289062,347.3616027832031,253.97537231445312,338.1478271484375,1.5528,1.5024
55,2024-08-09T18:33:17.2074081+03:30,-65,-59,38,27,41,35,-19,85,-0.5806054,0.116948314,2.07912183,-0.04573882,-0.2932564,2.38398075,-0.566578269,0.06090091,2.27232528,-0.03147983,-0.048013512,2.48098135,-0.4064073,0.1655207,2.42385554,-0.101528004,0.156509265,2.497314,0,0,0,0,0,0,0,0,0,0,0,0,170.314208984375,347.612548828125,254.080810546875,338.20721435546875,1.5528,1.5024
