FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
36,2024-08-09T16:59:22.2724088+03:30,-31,-19,98,27,20,-5,-35,93,-0.3221258,0.3048111,1.94053316,0.3942846,-0.158753112,2.3973465,-0.307484269,0.247119471,2.162002,0.2616531,0.008467612,2.49556112,-0.227537885,0.225868329,2.38486934,0.114444591,0.215460941,2.4850533,0,0,0,0,0,0,0,0,0,0,0,0,225.04803466796875,347.7934875488281,160.37098693847656,337.1058654785156
37,2024-08-09T16:59:22.3063929+03:30,-28,-18,97,27,20,-6,-35,93,-0.321463555,0.305514753,1.93907154,0.391840875,-0.166130379,2.40146351,-0.306993335,0.247743458,2.16033459,0.26012367,0.00482592965,2.49827552,-0.22711587,0.225731164,2.38449478,0.114357628,0.215425,2.48644662,0,0,0,0,0,0,0,0,0,0,0,0,225.05078125,347.42340087890625,160.24850463867188,337.0813903808594
38,2024-08-09T16:59:22.3387197+03:30,-30,-18,97,26,19,-6,-34,93,-0.320826441,0.3058989,1.93809748,0.38880533,-0.173420444,2.40517879,-0.30652073,0.247987285,2.15915418,0.25822264,0.00118271285,2.500635,-0.226693973,0.225600123,2.38415933,0.114235133,0.215389043,2.487718,0,0,0,0,0,0,0,0,0,0,0,0,225.09292602539062,347.28131103515625,160.3882293701172,337.13427734375
39,2024-08-09T16:59:22.3689753+03:30,-30,-18,98,27,19,-6,-33,94,-0.320249736,0.305976927,1.93746257,0.3853918,-0.180481344,2.4085474,-0.3060813,0.247965351,2.15833759,0.256071836,-0.00236492651,2.50270271,-0.226279944,0.225483775,2.38386488,0.114082709,0.2153501,2.48887014,0,0,0,0,0,0,0,0,0,0,0,0,225.03668212890625,347.5936279296875,160.6025390625,337.09088134765625
40,2024-08-09T16:59:22.4077993+03:30,-30,-18,99,26,19,-6,-32,94,-0.3197405,0.305764318,1.93705285,0.381790072,-0.18721877,2.411624,-0.305671424,0.247764722,2.157787,0.253782,-0.00576703576,2.50453424,-0.225878388,0.225379735,2.38360929,0.113917947,0.215313166,2.48993,0,0,0,0,0,0,0,0,0,0,0,0,225.02549743652344,347.6534423828125,160.39498901367188,337.13330078125
41,2024-08-09T16:59:22.4397360+03:30,-30,-18,99,26,19,-6,-31,94,-0.319341451,0.30524832,1.936785,0.378014773,-0.19357197,2.4146378,-0.305288821,0.247450963,2.157433,0.251425117,-0.0090007,2.50618243,-0.2254939,0.225287646,2.383392,0.113749772,0.215273559,2.49090743,0,0,0,0,0,0,0,0,0,0,0,0,225.14781188964844,347.4460144042969,160.57406616210938,336.9287109375
42,2024-08-09T16:59:22.4737737+03:30,-30,-18,98,25,19,-6,-31,94,-0.319025248,0.3044378,1.93660283,0.374192268,-0.199520245,2.41753912,-0.30493474,0.247064292,2.15722585,0.249056786,-0.0120875118,2.50777078,-0.225125149,0.225206986,2.38321,0.113579392,0.21521455,2.491792,0,0,0,0,0,0,0,0,0,0,0,0,225.1077117919922,347.3743896484375,160.34815979003906,337.06231689453125
43,2024-08-09T16:59:22.5054325+03:30,-32,-18,99,25,19,-5,-30,94,-0.318774462,0.303370118,1.936479,0.370420456,-0.2050655,2.42033672,-0.304603517,0.2466336,2.15713215,0.246691436,-0.0150133995,2.50930071,-0.224766731,0.225134745,2.38306475,0.113418132,0.2151372,2.49261117,0,0,0,0,0,0,0,0,0,0,0,0,225.20242309570312,347.51007080078125,160.45156860351562,337.15380859375
44,2024-08-09T16:59:22.5401781+03:30,-31,-18,100,25,19,-5,-29,94,-0.318543851,0.302123457,1.93643653,0.3667433,-0.210184112,2.423093,-0.304371,0.246090978,2.1571486,0.2443705,-0.0177789219,2.510817,-0.224418059,0.225068808,2.38295078,0.113264762,0.215047583,2.49337053,0,0,0,0,0,0,0,0,0,0,0,0,225.26931762695312,347.1835632324219,160.43673706054688,337.08074951171875
45,2024-08-09T16:59:22.5701220+03:30,-29,-19,98,24,20,-5,-29,94,-0.3183247,0.3006258,1.93647587,0.363196135,-0.214960337,2.42576742,-0.304321617,0.245428085,2.15728855,0.242108673,-0.0203995,2.51236415,-0.2240837,0.225009575,2.38286281,0.113115087,0.214952752,2.49407482,0,0,0,0,0,0,0,0,0,0,0,0,225.19699096679688,347.4248046875,160.3697509765625,337.0152587890625
46,2024-08-09T16:59:22.6016030+03:30,-28,-19,100,25,20,-5,-28,95,-0.318099737,0.2988022,1.93657732,0.359806359,-0.219440326,2.42832661,-0.304441839,0.244665146,2.15754342,0.239923179,-0.0228571743,2.513874,-0.22376509,0.224959448,2.38280654,0.112976491,0.214859441,2.4947412,0,0,0,0,0,0,0,0,0,0,0,0,225.0329132080078,347.5325927734375,160.5511474609375,336.9901123046875
47,2024-08-09T16:59:22.6337830+03:30,-27,-19,101,25,20,-5,-27,95,-0.317879,0.296771675,1.9367398,0.3565842,-0.223578349,2.430824,-0.304673284,0.24384059,2.15789151,0.237833664,-0.0251654517,2.515302,-0.223434329,0.224902272,2.38277817,0.1128487,0.214756846,2.495357,0,0,0,0,0,0,0,0,0,0,0,0,225.08432006835938,347.511962890625,160.55548095703125,337.22515869140625
48,2024-08-09T16:59:22.6658853+03:30,-26,-19,100,24,20,-5,-27,95,-0.3177545,0.294656,1.93689144,0.353476375,-0.227321029,2.43330336,-0.304819226,0.2429575,2.1582253,0.235792413,-0.0272972584,2.51662636,-0.223105982,0.224843144,2.38277125,0.112729028,0.214651868,2.49592853,0,0,0,0,0,0,0,0,0,0,0,0,225.11968994140625,347.45404052734375,160.3379669189453,337.075927734375
