FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
38,2024-08-09T17:00:14.8470077+03:30,6,-13,-44,4,22,-2,-25,95,-0.316855252,0.247069046,1.88372135,0.382217467,-0.267947257,2.57105923,-0.2701434,0.244020164,2.172786,0.281773835,-0.0203909855,2.53551364,-0.174148008,0.235790759,2.410682,0.167077437,0.229584813,2.51251268,0,0,0,0,0,0,0,0,0,0,0,0
39,2024-08-09T17:00:14.8791262+03:30,9,-13,-54,4,22,-2,-24,95,-0.318616718,0.242853954,1.88141775,0.379978478,-0.267989576,2.57166386,-0.270649374,0.242566854,2.17282629,0.279764742,-0.019512184,2.535326,-0.174110338,0.23547475,2.41030455,0.166994885,0.229466259,2.51210761,0,0,0,0,0,0,0,0,0,0,0,0
40,2024-08-09T17:00:14.9155587+03:30,7,-13,-55,4,22,-1,-24,95,-0.3204722,0.238580316,1.87952352,0.377839684,-0.268128574,2.572969,-0.2711912,0.24106425,2.17299819,0.2779353,-0.0182377882,2.53503752,-0.174068645,0.235120147,2.40992165,0.166932836,0.229339048,2.51173782,0,0,0,0,0,0,0,0,0,0,0,0
41,2024-08-09T17:00:14.9479119+03:30,9,-12,-54,4,22,-1,-24,95,-0.3223878,0.2342105,1.87798166,0.37728703,-0.2681985,2.571896,-0.2717384,0.239517331,2.17325544,0.276338667,-0.0168580264,2.53464413,-0.174026251,0.234747812,2.40954518,0.16684626,0.22920388,2.51133919,0,0,0,0,0,0,0,0,0,0,0,0
42,2024-08-09T17:00:14.9806451+03:30,11,-13,-55,4,23,-1,-24,95,-0.324302942,0.2296947,1.8767221,0.376371562,-0.268351585,2.5725832,-0.272281766,0.237930447,2.173547,0.2750067,-0.0154718645,2.53425145,-0.173983365,0.2343583,2.40917969,0.16674678,0.2290581,2.51093125,0,0,0,0,0,0,0,0,0,0,0,0
43,2024-08-09T17:00:15.0125152+03:30,14,-13,-57,4,23,-1,-24,95,-0.32617408,0.225036174,1.87570488,0.3752828,-0.268551916,2.57429957,-0.2728208,0.236331835,2.17385268,0.273883671,-0.014100899,2.53383231,-0.173950717,0.233960629,2.40883231,0.16664727,0.228917047,2.510543,0,0,0,0,0,0,0,0,0,0,0,0
44,2024-08-09T17:00:15.0425333+03:30,12,-13,-50,4,23,0,-24,96,-0.327971756,0.220274583,1.874911,0.3747753,-0.268940181,2.575139,-0.273361653,0.23469609,2.17418623,0.2729381,-0.0127718253,2.5334034,-0.173940763,0.233560875,2.408501,0.166536286,0.22874257,2.51013947,0,0,0,0,0,0,0,0,0,0,0,0
45,2024-08-09T17:00:15.0802063+03:30,15,-13,-52,4,23,0,-24,96,-0.329685479,0.215452433,1.8743161,0.3742391,-0.2692626,2.57668781,-0.273896456,0.233060166,2.17453766,0.272135049,-0.0115047712,2.53297853,-0.1739528,0.2331613,2.40818954,0.166430011,0.228587285,2.50978112,0,0,0,0,0,0,0,0,0,0,0,0
46,2024-08-09T17:00:15.1115713+03:30,17,-13,-52,4,23,0,-24,96,-0.331285536,0.210490465,1.87382233,0.374392778,-0.269675136,2.57699752,-0.2744066,0.230955571,2.17489958,0.272202373,-0.0114887515,2.53319669,-0.173983067,0.2327617,2.40789652,0.166302189,0.2284076,2.50939178,0,0,0,0,0,0,0,0,0,0,0,0
47,2024-08-09T17:00:15.1434895+03:30,15,-13,-50,4,23,1,-24,96,-0.332738757,0.20530504,1.87348139,0.375468135,-0.269740671,2.57529259,-0.274870247,0.2285272,2.175304,0.2728558,-0.0123169869,2.53379941,-0.174031451,0.232353687,2.40762353,0.166187674,0.228226587,2.50903916,0,0,0,0,0,0,0,0,0,0,0,0
