FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z,is_grasped
31,2024-08-09T16:56:34.4204842+03:30,-16,-12,106,13,16,-15,-21,98,-0.332940876,0.3677843,1.92753172,0.2800641,-0.272426426,2.48422551,-0.314755529,0.298365861,2.13803339,0.174439177,-0.0364827737,2.5066452,-0.248949349,0.237278327,2.36262941,0.07219708,0.221964061,2.47040939,0,0,0,0,0,0,0,0,0,0,0,0,221.3199615478516,346.39697265625,154.86337280273438,336.77606201171875,1.5908777963742406,1.5194270917617638,-1
32,2024-08-09T16:56:34.4564871+03:30,-15,-12,106,13,16,-15,-21,98,-0.3338003,0.365665227,1.92752743,0.2797459,-0.2726308,2.48338532,-0.315243423,0.297118157,2.13833618,0.174212039,-0.0367624,2.506508,-0.2490853,0.237197116,2.36262584,0.07210551,0.221853063,2.470062,0,0,0,0,0,0,0,0,0,0,0,0,221.3499450683593,346.70904541015625,154.940185546875,336.7940673828125,1.5906171070428825,1.5193971592569306,-1
33,2024-08-09T16:56:34.4874257+03:30,-14,-11,106,13,16,-15,-21,98,-0.334672838,0.363235474,1.9275496,0.279449373,-0.2728074,2.48262429,-0.315896928,0.295676678,2.13871074,0.173972815,-0.0370441526,2.50645256,-0.2492431,0.237115756,2.36264014,0.07202728,0.221722931,2.46971869,0,0,0,0,0,0,0,0,0,0,0,0,221.4591827392578,346.6500244140625,154.80123901367188,336.9287109375,1.5903907928082943,1.5193711737212536,-1
34,2024-08-09T16:56:34.5235577+03:30,-17,-12,106,13,16,-14,-21,98,-0.33554855,0.36056298,1.92756379,0.279163867,-0.272953928,2.48193264,-0.3166459,0.294104248,2.13911271,0.17372039,-0.0373239256,2.50646043,-0.249427691,0.237031966,2.36266732,0.07196069,0.221583009,2.46938729,0,0,0,0,0,0,0,0,0,0,0,0,221.34695434570312,346.83526611328125,154.95208740234375,336.8800964355469,1.5901943159969885,1.5193486141363508,-1
35,2024-08-09T16:56:34.5538925+03:30,-15,-12,106,13,16,-14,-21,98,-0.336482376,0.357130826,1.92663538,0.278853625,-0.272988558,2.48149467,-0.317589432,0.292242169,2.139544,0.173473239,-0.0376078933,2.5065167,-0.249637067,0.236924022,2.36270285,0.07190919,0.221423954,2.46906853,0,0,0,0,0,0,0,0,0,0,0,0,221.297119140625,346.6378479003906,155.0079345703125,337.0433349609375,1.5900237396199568,1.5193290284547911,-1
36,2024-08-09T16:56:34.5946525+03:30,-16,-13,106,13,17,-13,-21,98,-0.337430656,0.353281826,1.92510939,0.2785589,-0.273015976,2.481241,-0.318664938,0.290160477,2.13998485,0.173242018,-0.03790188,2.506594,-0.249860585,0.23679854,2.36274314,0.07188308,0.221251711,2.46878648,0,0,0,0,0,0,0,0,0,0,0,0,221.30178833007807,346.912109375,154.8336181640625,337.0274658203125,1.5898756472724307,1.5193120244029377,-1
37,2024-08-09T16:56:34.6227113+03:30,-13,-13,106,13,17,-13,-21,98,-0.338369966,0.3492262,1.9232235,0.2782632,-0.2730941,2.481062,-0.319775224,0.287944078,2.14040732,0.173023865,-0.03819146,2.50667977,-0.2500903,0.236667022,2.3627882,0.07186979,0.221076131,2.468529,0,0,0,0,0,0,0,0,0,0,0,0,221.45635986328125,346.4467163085937,154.89089965820312,336.8768920898437,1.5885873868322793,1.5192972615332665,-1
38,2024-08-09T16:56:34.6582301+03:30,-14,-13,106,14,17,-12,-21,98,-0.339326441,0.344537944,1.92195654,0.277989119,-0.2732055,2.480936,-0.320876658,0.2856038,2.14080167,0.172824025,-0.03848262,2.50676513,-0.250318021,0.23653321,2.36284018,0.07187306,0.2208919,2.46829224,0,0,0,0,0,0,0,0,0,0,0,0,221.50259399414065,346.3484191894531,154.7893524169922,336.9256286621094,1.5886285831879658,1.5192844443485385,-1
39,2024-08-09T16:56:34.6907170+03:30,-11,-13,106,14,17,-12,-21,98,-0.3403327,0.33956176,1.92112911,0.277690262,-0.273152471,2.48102045,-0.321901619,0.283175,2.14114833,0.172656342,-0.03877472,2.50682569,-0.25053528,0.236399874,2.36289835,0.0718913749,0.220699459,2.468072,0,0,0,0,0,0,0,0,0,0,0,0,221.48733520507807,346.54644775390625,154.95957946777344,336.9677124023437,1.5886643502518116,1.5192733163480916,-1
40,2024-08-09T16:56:34.7226675+03:30,-11,-14,105,14,18,-11,-21,99,-0.3415519,0.3343636,1.92064285,0.277416945,-0.2729959,2.48121738,-0.3228832,0.2806492,2.141469,0.172534645,-0.0390653238,2.50684118,-0.250740528,0.236271754,2.36296678,0.07192543,0.220501244,2.467866,0,0,0,0,0,0,0,0,0,0,0,0,221.2708740234375,346.4900817871094,154.7421417236328,336.8681030273437,1.5875357576331477,1.5192636548691878,-1
